-------------------------------Rules------------------------------
R 1:                1 ==> 2
R352:                1, 8, 9 ==> 7
R353:                7, 8, 9 ==> 1
R354:                2, 4, 5 ==> 3
R355:                3, 4, 5 ==> 2
R356:                4, 6 ==> 2, 3
R357:                2, 4, 6 ==> 3
R358:                3, 4, 6 ==> 2
R359:                3, 7 ==> 2, 4
R360:                2, 7 ==> 3, 4
R361:                2, 3, 7 ==> 4
R362:                2, 4, 7 ==> 3
R363:                3, 4, 7 ==> 2
R364:                2, 3, 8 ==> 4
R365:                2, 4, 8 ==> 3
R366:                3, 4, 8 ==> 2
R367:                4, 9 ==> 2, 3
R368:                2, 4, 9 ==> 3
R369:                3, 4, 9 ==> 2
R370:                5, 6 ==> 2, 3
R371:                2, 3, 5 ==> 6
R372:                2, 5, 6 ==> 3
R373:                3, 5, 6 ==> 2
R374:                2, 3, 7 ==> 5
R375:                2, 5, 7 ==> 3
R376:                3, 5, 7 ==> 2
R377:                3, 8 ==> 2, 5
R378:                2, 8 ==> 3, 5
R379:                2, 3, 8 ==> 5
R380:                2, 5, 8 ==> 3
R381:                3, 5, 8 ==> 2
R382:                5, 9 ==> 2, 3
R383:                2, 3, 9 ==> 5
R384:                2, 5, 9 ==> 3
R385:                3, 5, 9 ==> 2
R386:                6, 7 ==> 2, 3
R387:                2, 6, 7 ==> 3
R388:                3, 6, 7 ==> 2
R389:                6, 8 ==> 2, 3
R390:                2, 3, 8 ==> 6
R391:                2, 6, 8 ==> 3
R392:                3, 6, 8 ==> 2
R393:                6, 9 ==> 2, 3
R394:                3, 9 ==> 2, 6
R395:                2, 9 ==> 3, 6
R396:                2, 3, 9 ==> 6
R397:                2, 6, 9 ==> 3
R398:                3, 6, 9 ==> 2
R399:                2, 7, 8 ==> 3
R400:                3, 7, 8 ==> 2
R401:                7, 9 ==> 2, 3
R402:                2, 7, 9 ==> 3
R403:                3, 7, 9 ==> 2
R404:                8, 9 ==> 2, 3
R405:                2, 3, 8 ==> 9
R406:                2, 8, 9 ==> 3
R407:                3, 8, 9 ==> 2
R408:                2, 4, 6 ==> 5
R409:                4, 5, 6 ==> 2
R410:                5, 7 ==> 2, 4
R411:                2, 4, 7 ==> 5
R412:                2, 5, 7 ==> 4
R413:                4, 5, 7 ==> 2
R414:                2, 4, 8 ==> 5
R415:                2, 5, 8 ==> 4
R416:                4, 5, 8 ==> 2
R417:                4, 9 ==> 2, 5
R418:                2, 4, 9 ==> 5
R419:                4, 5, 9 ==> 2
R420:                6, 7 ==> 2, 4
R421:                2, 6, 7 ==> 4
R422:                4, 6, 7 ==> 2
R423:                2, 6, 8 ==> 4
R424:                4, 6, 8 ==> 2
R425:                4, 9 ==> 2, 6
R426:                2, 4, 9 ==> 6
R427:                4, 6, 9 ==> 2
R428:                2, 4, 8 ==> 7
R429:                2, 7, 8 ==> 4
R430:                4, 7, 8 ==> 2
R431:                7, 9 ==> 2, 4
R432:                2, 7, 9 ==> 4
R433:                4, 7, 9 ==> 2
R434:                2, 4, 9 ==> 8
R435:                2, 8, 9 ==> 4
R436:                4, 8, 9 ==> 2
R437:                6, 7 ==> 2, 5
R438:                2, 6, 7 ==> 5
R439:                5, 6, 7 ==> 2
R440:                6, 8 ==> 2, 5
R441:                2, 5, 8 ==> 6
R442:                2, 6, 8 ==> 5
R443:                5, 6, 8 ==> 2
R444:                5, 9 ==> 2, 6
R445:                2, 5, 9 ==> 6
R446:                2, 6, 9 ==> 5
R447:                5, 6, 9 ==> 2
R448:                2, 5, 7 ==> 8
R449:                2, 7, 8 ==> 5
R450:                5, 7, 8 ==> 2
R451:                7, 9 ==> 2, 5
R452:                2, 7, 9 ==> 5
R453:                5, 7, 9 ==> 2
R454:                8, 9 ==> 2, 5
R455:                2, 8, 9 ==> 5
R456:                5, 8, 9 ==> 2
R457:                6, 7, 8 ==> 2
R458:                7, 9 ==> 2, 6
R459:                2, 7, 9 ==> 6
R460:                6, 7, 9 ==> 2
R461:                8, 9 ==> 2, 6
R462:                2, 6, 8 ==> 9
R463:                2, 8, 9 ==> 6
R464:                6, 8, 9 ==> 2
R465:                2, 7, 9 ==> 8
R466:                7, 8, 9 ==> 2
